X-coord	Y-coord	Z-coord	Velocity_x	Velocity_y	Velocity_z	Level_set_value
0.0	0.0	0	8.08573386166e-05	-4.79665696052e-10	8.66405969191e-09	-0.000643173523713
0.0	0.0001	0	0.0928089693189	3.65113519365e-05	1.082034305e-05	-0.000543355825357
0.0	0.0002	0	0.172560244799	0.000151833999553	2.16131575144e-05	-0.000443337747129
0.0	0.0003	0	0.239771381021	0.000231604077271	3.73655784642e-05	-0.00034326640889
0.0	0.0004	0	0.294175475836	0.000205645876122	5.7351844589e-05	-0.000243174217758
0.0	0.0005	0	0.334310799837	-5.02243028677e-06	7.94789375504e-05	-0.000143283803482
0.0	0.0006	0	0.357072174549	-0.00126578344498	8.47928968142e-05	-4.34551293438e-05
0.0	0.0007	0	0.378502160311	-0.00302441534586	5.99045415584e-05	5.64836263948e-05
0.0	0.0008	0	0.438399225473	-0.000678098120261	8.29804776004e-05	0.000156385955052
0.0	0.0009	0	0.508058667183	0.00449337344617	7.7742151916e-05	0.000256463012192
0.0	0.001	0	0.58945274353	0.00962234754115	0.000103111080534	0.00035635344102
0.0	0.0011	0	0.681879460812	0.0144892288372	0.000117318915727	0.000456397945527
0.0	0.0012	0	0.784276485443	0.0191605761647	0.000128831234179	0.000556361686904
0.0	0.0013	0	0.895227730274	0.0236146450043	0.000125611797557	0.000656422344036
0.0	0.0014	0	1.01575672626	0.0278480928391	0.000115600472782	0.000757188186981
0.0	0.0015	0	1.14044630527	0.0314912199974	0.000112262518087	0.000856797560118
0.0	0.0016	0	1.26909852028	0.0346646532416	0.000115679678856	0.00092399638379
0.0	0.0017	0	1.40422916412	0.0371487475932	0.000135728740133	0.0010572404135
0.0	0.0018	0	1.53968000412	0.0388813205063	0.000200827911613	0.0011566542089
0.0	0.0019	0	1.67285394669	0.0400466099381	0.00025755725801	0.00125645892695
0.0	0.002	0	1.80730211735	0.0406054444611	0.000321704137605	0.00135874538682
0.0	0.0021	0	1.93564832211	0.0400203093886	0.000331463932525	0.00145835464355
0.0	0.0022	0	2.05684661865	0.0393321588635	0.000337712961482	0.0015579641331
0.0	0.0023	0	2.17089676857	0.0385409966111	0.000340451224474	0.00165757362265
0.0	0.0024	0	2.27758932114	0.0376478768885	0.000339721504133	0.00175681139808
0.0	0.0025	0	2.37754654884	0.0366491340101	0.000335418939358	0.0018566158833
0.0	0.0026	0	2.47029256821	0.0355725362897	0.000372784095816	0.00195556273684
0.0	0.0027	0	2.55587768555	0.0344026498497	0.000344344764017	0.00205655302852
0.0	0.0028	0	2.63373088837	0.0332832969725	0.000414150650613	0.00215645530261
0.0	0.0029	0	2.7009665966	0.0329205729067	0.000350551941665	0.00225704628974
0.0	0.003	0	2.76370763779	0.0323720425367	0.000359936995665	0.00235726241954
0.0	0.0031	0	2.81987214088	0.0319633334875	0.000367337313946	0.00245665595867
0.0	0.0032	0	2.86955165863	0.0316942222416	0.000372651178623	0.00255644973367
0.0	0.0033	0	2.91259074211	0.0315656550229	0.000375847623218	0.00265635224059
0.0	0.0034	0	2.9494433403	0.0315713658929	0.000375254923711	0.00275652064011
0.0	0.0035	0	2.98227405548	0.031502135098	0.000360108708264	0.00285717681982
0.0	0.0036	0	3.00846171379	0.0314959473908	0.000350516842445	0.00295698153786
0.0	0.0037	0	3.02889871597	0.0315080881119	0.000341058446793	0.00305678625591
0.0	0.0038	0	3.04358506203	0.0315385684371	0.000331733521307	0.00315659097396
0.0	0.0039	0	3.05253362656	0.0315879248083	0.000322493928252	0.00325641734526
0.0	0.004	0	3.05570578575	0.0316556692123	0.000313469208777	0.00335658574477
0.000209	0.0	0	4.03410376748e-05	1.76342307423e-09	4.56023308004e-09	-0.000687060470227
0.000209	0.0001	0	0.0925549268723	4.75432862004e-05	1.08496487883e-05	-0.000590600655414
0.000209	0.0002	0	0.172254055738	0.000178849237273	2.17387296289e-05	-0.000498059845995
0.000209	0.0003	0	0.239515200257	0.000342097686371	3.01588279399e-05	-0.000407000188716
0.000209	0.0004	0	0.294110238552	0.000456109934021	4.0182560042e-05	-0.000257322913967
0.000209	0.0005	0	0.335249632597	0.000219760491746	5.33835845999e-05	-0.000157317539561
0.000209	0.0006	0	0.36016663909	-0.000338669982739	0.000100154218671	-5.75757694605e-05
0.000209	0.0007	0	0.377326488495	-0.000729921273887	9.88747415249e-05	4.2399893573e-05
0.000209	0.0008	0	0.429633527994	0.00226183608174	6.56598276692e-05	0.00014228906366
0.000209	0.0009	0	0.4980237782	0.00715880841017	9.50419489527e-05	0.000242296038778
0.000209	0.001	0	0.579470872879	0.0115479975939	0.000121040473459	0.000342301413184
0.000209	0.0011	0	0.672043442726	0.0161384958774	0.000119918491691	0.000442269752966
0.000209	0.0012	0	0.774978458881	0.0206278618425	0.000132150977151	0.00054230960086
